ply,our_move,sf_move,same_move,centipawn_loss,step_smartness,decision_time,pruned_branches
2,a2a4,c2c3,False,9,-18,0.007650852203369141,0
4,g2g3,c2c3,False,17,-20,0.011662483215332031,0
6,f1g2,c2c3,False,25,11,0.011485815048217773,0
8,b1a3,e2e4,False,44,-36,0.015190839767456055,0
10,a3b1,d2d3,False,35,-29,0.018766164779663086,0
12,g2f3,d2d4,False,111,-103,0.016953229904174805,0
14,f3h5,f3g2,False,109,-62,0.014998435974121094,0
16,b2b3,h5f3,False,72,-91,0.01564931869506836,0
18,f2f3,h5f3,False,148,-131,0.015258073806762695,0
20,h5g6,h5g4,False,342,-276,0.014404535293579102,0
22,c2c4,c2c3,False,122,-126,0.014761686325073242,0
24,d2d3,d2d3,True,0,31,0.014029502868652344,0
26,e1f1,e1f2,False,8,-21,0.020314693450927734,0
28,h2h4,f1g2,False,33,-55,0.02025437355041504,0
30,c1b2,b1d2,False,25,-38,0.020112991333007812,0
32,b3b4,b1a3,False,0,-27,0.022265195846557617,0
34,e2e3,e2e3,True,0,-21,0.021547794342041016,0
36,e3d4,g1e2,False,19,-88,0.021977901458740234,0
38,d4e5,g1e2,False,18,-24,0.017207860946655273,0
40,b2e5,b2e5,True,0,52,0.02213144302368164,0
42,a1a2,b1d2,False,64,-64,0.018305540084838867,0
44,f1f2,f1g2,False,116,0,0.0010170936584472656,0
46,h1h2,f2g2,False,32,-81,0.023090362548828125,0
48,h2h3,f2f1,False,226,-20,0.021997928619384766,0
50,a2c2,d3d4,False,182,-112,0.02335381507873535,0
52,f2g2,f2f1,False,151,-2,0.003399372100830078,0
54,g2h1,g2h1,True,0,139,0.0035181045532226562,0
56,d1e2,b1c3,False,14,96,0.021290302276611328,0
58,e2c2,b1c3,False,67,35,0.017110586166381836,0
60,h3h2,g1e2,False,182,218,0.009835243225097656,0
62,h2c2,f3g4,False,184,44,0.011795759201049805,0
64,g1e2,g1e2,True,0,123,0.013534307479858398,0
66,h1g1,h1g1,True,0.0,-8868.0,0.0011105537414550781,0
